Country,State,Year,City Name,Type Of Weather,Total Number Of Accidents  (UOM:Number),Number Of Persons Killed In Road Accident (UOM:Number),Number Of Grievously Injured Persons (UOM:Number),Number Of Minor Injured Persons (UOM:Number),Number Of Total Injured Persons (UOM:Number)
India,Kerala,"Financial Year (Apr - Mar), 2020",Kannur,Foggy & Misty,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2020",Kannur,Hail/Sleet,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2020",Kannur,Others,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2020",Kannur,Rainy,94,9,63,51,114
India,Kerala,"Financial Year (Apr - Mar), 2020",Kannur,Sunny/Clear,410,48,241,218,459
India,Kerala,"Financial Year (Apr - Mar), 2020",Khozikode,Foggy & Misty,82,18,57,22,79
India,Kerala,"Financial Year (Apr - Mar), 2020",Khozikode,Hail/Sleet,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2020",Khozikode,Others,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2020",Khozikode,Rainy,57,4,45,15,60
India,Kerala,"Financial Year (Apr - Mar), 2020",Khozikode,Sunny/Clear,864,69,660,213,873
India,Kerala,"Financial Year (Apr - Mar), 2020",Kochi,Foggy & Misty,64,7,51,7,58
India,Kerala,"Financial Year (Apr - Mar), 2020",Kochi,Hail/Sleet,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2020",Kochi,Others,68,9,44,16,60
India,Kerala,"Financial Year (Apr - Mar), 2020",Kochi,Rainy,14,3,5,8,13
India,Kerala,"Financial Year (Apr - Mar), 2020",Kochi,Sunny/Clear,1291,82,1022,253,1275
India,Kerala,"Financial Year (Apr - Mar), 2020",Kollam,Foggy & Misty,15,2,14,0,14
India,Kerala,"Financial Year (Apr - Mar), 2020",Kollam,Hail/Sleet,15,2,15,0,15
India,Kerala,"Financial Year (Apr - Mar), 2020",Kollam,Others,190,44,141,34,175
India,Kerala,"Financial Year (Apr - Mar), 2020",Kollam,Rainy,23,4,16,4,20
India,Kerala,"Financial Year (Apr - Mar), 2020",Kollam,Sunny/Clear,1168,142,1020,137,1157
India,Kerala,"Financial Year (Apr - Mar), 2020",Mallapuram,Foggy & Misty,68,15,40,20,60
India,Kerala,"Financial Year (Apr - Mar), 2020",Mallapuram,Hail/Sleet,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2020",Mallapuram,Others,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2020",Mallapuram,Rainy,256,45,188,68,256
India,Kerala,"Financial Year (Apr - Mar), 2020",Mallapuram,Sunny/Clear,1460,187,1140,372,1512
India,Kerala,"Financial Year (Apr - Mar), 2020",Thiruvanthapuram,Foggy & Misty,24,3,21,4,25
India,Kerala,"Financial Year (Apr - Mar), 2020",Thiruvanthapuram,Hail/Sleet,1,0,1,0,1
India,Kerala,"Financial Year (Apr - Mar), 2020",Thiruvanthapuram,Others,76,14,62,13,75
India,Kerala,"Financial Year (Apr - Mar), 2020",Thiruvanthapuram,Rainy,2,2,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2020",Thiruvanthapuram,Sunny/Clear,1111,89,940,222,1162
India,Kerala,"Financial Year (Apr - Mar), 2020",Thrissur,Foggy & Misty,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2020",Thrissur,Hail/Sleet,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2020",Thrissur,Others,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2020",Thrissur,Rainy,15,4,12,13,25
India,Kerala,"Financial Year (Apr - Mar), 2020",Thrissur,Sunny/Clear,1449,130,1090,517,1607
India,Kerala,"Financial Year (Apr - Mar), 2021",Kannur,Foggy & Misty,20,3,11,8,19
India,Kerala,"Financial Year (Apr - Mar), 2021",Kannur,Hail/Sleet,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2021",Kannur,Others,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2021",Kannur,Rainy,105,19,53,60,113
India,Kerala,"Financial Year (Apr - Mar), 2021",Kannur,Sunny/Clear,1049,100,700,495,1195
India,Kerala,"Financial Year (Apr - Mar), 2021",Khozikode,Foggy & Misty,78,8,61,16,77
India,Kerala,"Financial Year (Apr - Mar), 2021",Khozikode,Hail/Sleet,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2021",Khozikode,Others,98,15,72,18,90
India,Kerala,"Financial Year (Apr - Mar), 2021",Khozikode,Rainy,16,3,14,0,14
India,Kerala,"Financial Year (Apr - Mar), 2021",Khozikode,Sunny/Clear,1185,105,850,360,1210
India,Kerala,"Financial Year (Apr - Mar), 2021",Kochi,Foggy & Misty,78,9,55,17,72
India,Kerala,"Financial Year (Apr - Mar), 2021",Kochi,Hail/Sleet,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2021",Kochi,Others,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2021",Kochi,Rainy,97,15,70,25,95
India,Kerala,"Financial Year (Apr - Mar), 2021",Kochi,Sunny/Clear,1606,117,1218,373,1591
India,Kerala,"Financial Year (Apr - Mar), 2021",Kollam,Foggy & Misty,80,15,73,15,88
India,Kerala,"Financial Year (Apr - Mar), 2021",Kollam,Hail/Sleet,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2021",Kollam,Others,128,28,116,28,144
India,Kerala,"Financial Year (Apr - Mar), 2021",Kollam,Rainy,15,2,12,5,17
India,Kerala,"Financial Year (Apr - Mar), 2021",Kollam,Sunny/Clear,1329,139,1143,255,1398
India,Kerala,"Financial Year (Apr - Mar), 2021",Mallapuram,Foggy & Misty,91,14,67,25,92
India,Kerala,"Financial Year (Apr - Mar), 2021",Mallapuram,Hail/Sleet,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2021",Mallapuram,Others,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2021",Mallapuram,Rainy,322,47,249,105,354
India,Kerala,"Financial Year (Apr - Mar), 2021",Mallapuram,Sunny/Clear,1734,230,1417,521,1938
India,Kerala,"Financial Year (Apr - Mar), 2021",Thiruvanthapuram,Foggy & Misty,25,4,20,3,23
India,Kerala,"Financial Year (Apr - Mar), 2021",Thiruvanthapuram,Hail/Sleet,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2021",Thiruvanthapuram,Others,70,3,68,10,78
India,Kerala,"Financial Year (Apr - Mar), 2021",Thiruvanthapuram,Rainy,3,0,3,0,3
India,Kerala,"Financial Year (Apr - Mar), 2021",Thiruvanthapuram,Sunny/Clear,1340,110,1163,248,1411
India,Kerala,"Financial Year (Apr - Mar), 2021",Thrissur,Foggy & Misty,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2021",Thrissur,Hail/Sleet,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2021",Thrissur,Others,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2021",Thrissur,Rainy,223,33,169,65,234
India,Kerala,"Financial Year (Apr - Mar), 2021",Thrissur,Sunny/Clear,1496,168,1112,529,1641
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Bhopal,Foggy & Misty,47,5,4,39,43
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Bhopal,Hail/Sleet,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Bhopal,Others,487,38,49,358,407
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Bhopal,Rainy,267,17,21,202,223
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Bhopal,Sunny/Clear,2486,199,149,1808,1957
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Gwalior,Foggy & Misty,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Gwalior,Hail/Sleet,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Gwalior,Others,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Gwalior,Rainy,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Gwalior,Sunny/Clear,2109,292,80,1528,1608
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Indore,Foggy & Misty,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Indore,Hail/Sleet,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Indore,Others,289,32,6,246,252
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Indore,Rainy,179,14,3,158,161
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Indore,Sunny/Clear,2915,282,33,2545,2578
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Jabalpur,Foggy & Misty,8,2,3,4,7
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Jabalpur,Hail/Sleet,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Jabalpur,Others,824,76,121,679,800
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Jabalpur,Rainy,582,48,78,565,643
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Jabalpur,Sunny/Clear,1983,280,329,1751,2080
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Bhopal,Foggy & Misty,59,11,11,37,48
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Bhopal,Hail/Sleet,11,2,2,5,7
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Bhopal,Others,263,31,29,147,176
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Bhopal,Rainy,198,24,21,162,183
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Bhopal,Sunny/Clear,1764,169,123,1270,1393
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Gwalior,Foggy & Misty,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Gwalior,Hail/Sleet,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Gwalior,Others,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Gwalior,Rainy,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Gwalior,Sunny/Clear,1799,316,95,1234,1329
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Indore,Foggy & Misty,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Indore,Hail/Sleet,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Indore,Others,344,39,19,262,281
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Indore,Rainy,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Indore,Sunny/Clear,2692,420,203,2164,2367
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Jabalpur,Foggy & Misty,222,29,34,169,203
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Jabalpur,Hail/Sleet,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Jabalpur,Others,694,58,91,579,670
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Jabalpur,Rainy,205,30,21,160,181
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Jabalpur,Sunny/Clear,2105,305,344,1859,2203
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Bhopal,Foggy & Misty,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Bhopal,Hail/Sleet,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Bhopal,Others,405,37,37,278,315
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Bhopal,Rainy,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Bhopal,Sunny/Clear,2211,216,204,1671,1875
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Gwalior,Foggy & Misty,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Gwalior,Hail/Sleet,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Gwalior,Others,733,143,28,503,531
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Gwalior,Rainy,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Gwalior,Sunny/Clear,1097,216,50,759,809
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Indore,Foggy & Misty,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Indore,Hail/Sleet,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Indore,Others,313,30,17,213,230
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Indore,Rainy,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Indore,Sunny/Clear,3363,454,96,2866,2962
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Jabalpur,Foggy & Misty,99,47,77,105,182
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Jabalpur,Hail/Sleet,120,37,69,97,166
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Jabalpur,Others,759,17,84,811,895
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Jabalpur,Rainy,326,34,81,349,430
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Jabalpur,Sunny/Clear,2551,332,241,1842,2083
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Aurangabad,Foggy & Misty,6,2,4,4,8
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Aurangabad,Hail/Sleet,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Aurangabad,Others,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Aurangabad,Rainy,3,0,2,0,2
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Aurangabad,Sunny/Clear,551,197,311,113,424
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Mumbai,Foggy & Misty,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Mumbai,Hail/Sleet,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Mumbai,Others,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Mumbai,Rainy,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Mumbai,Sunny/Clear,2872,447,2147,778,2925
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Nagpur,Foggy & Misty,4,1,2,1,3
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Nagpur,Hail/Sleet,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Nagpur,Others,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Nagpur,Rainy,66,16,34,30,64
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Nagpur,Sunny/Clear,937,233,576,399,975
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Nashik,Foggy & Misty,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Nashik,Hail/Sleet,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Nashik,Others,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Nashik,Rainy,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Nashik,Sunny/Clear,553,177,385,155,540
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Pune,Foggy & Misty,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Pune,Hail/Sleet,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Pune,Others,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Pune,Rainy,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Pune,Sunny/Clear,791,206,463,163,626
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Aurangabad,Foggy & Misty,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Aurangabad,Hail/Sleet,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Aurangabad,Others,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Aurangabad,Rainy,3,1,2,0,2
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Aurangabad,Sunny/Clear,403,135,218,73,291
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Mumbai,Foggy & Misty,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Mumbai,Hail/Sleet,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Mumbai,Others,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Mumbai,Rainy,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Mumbai,Sunny/Clear,1812,349,1297,443,1740
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Nagpur,Foggy & Misty,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Nagpur,Hail/Sleet,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Nagpur,Others,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Nagpur,Rainy,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Nagpur,Sunny/Clear,773,210,420,332,752
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Nashik,Foggy & Misty,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Nashik,Hail/Sleet,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Nashik,Others,1,1,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Nashik,Rainy,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Nashik,Sunny/Clear,415,170,287,78,365
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Pune,Foggy & Misty,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Pune,Hail/Sleet,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Pune,Others,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Pune,Rainy,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Pune,Sunny/Clear,482,143,297,91,388
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Aurangabad,Foggy & Misty,9,2,6,0,6
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Aurangabad,Hail/Sleet,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Aurangabad,Others,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Aurangabad,Rainy,10,2,5,3,8
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Aurangabad,Sunny/Clear,452,150,270,104,374
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Mumbai,Foggy & Misty,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Mumbai,Hail/Sleet,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Mumbai,Others,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Mumbai,Rainy,400,75,244,126,370
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Mumbai,Sunny/Clear,1830,312,1261,311,1572
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Nagpur,Foggy & Misty,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Nagpur,Hail/Sleet,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Nagpur,Others,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Nagpur,Rainy,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Nagpur,Sunny/Clear,958,268,552,412,964
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Nashik,Foggy & Misty,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Nashik,Hail/Sleet,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Nashik,Others,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Nashik,Rainy,4,4,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Nashik,Sunny/Clear,466,181,340,63,403
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Pune,Foggy & Misty,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Pune,Hail/Sleet,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Pune,Others,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Pune,Rainy,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Pune,Sunny/Clear,741,255,457,99,556
India,Punjab,"Financial Year (Apr - Mar), 2019",Amritsar,Foggy & Misty,7,5,4,0,4
India,Punjab,"Financial Year (Apr - Mar), 2019",Amritsar,Hail/Sleet,0,0,0,0,0
India,Punjab,"Financial Year (Apr - Mar), 2019",Amritsar,Others,40,23,20,9,29
India,Punjab,"Financial Year (Apr - Mar), 2019",Amritsar,Rainy,0,0,0,0,0
India,Punjab,"Financial Year (Apr - Mar), 2019",Amritsar,Sunny/Clear,86,67,34,9,43
India,Punjab,"Financial Year (Apr - Mar), 2019",Ludhiana,Foggy & Misty,55,31,24,0,24
India,Punjab,"Financial Year (Apr - Mar), 2019",Ludhiana,Hail/Sleet,0,0,0,0,0
India,Punjab,"Financial Year (Apr - Mar), 2019",Ludhiana,Others,360,169,184,7,191
India,Punjab,"Financial Year (Apr - Mar), 2019",Ludhiana,Rainy,34,12,16,6,22
India,Punjab,"Financial Year (Apr - Mar), 2019",Ludhiana,Sunny/Clear,104,52,49,3,52
India,Punjab,"Financial Year (Apr - Mar), 2020",Amritsar,Foggy & Misty,6,5,1,1,2
India,Punjab,"Financial Year (Apr - Mar), 2020",Amritsar,Hail/Sleet,2,1,0,2,2
India,Punjab,"Financial Year (Apr - Mar), 2020",Amritsar,Others,32,19,6,9,15
India,Punjab,"Financial Year (Apr - Mar), 2020",Amritsar,Rainy,0,0,0,0,0
India,Punjab,"Financial Year (Apr - Mar), 2020",Amritsar,Sunny/Clear,60,41,31,9,40
India,Punjab,"Financial Year (Apr - Mar), 2020",Ludhiana,Foggy & Misty,94,53,20,0,20
India,Punjab,"Financial Year (Apr - Mar), 2020",Ludhiana,Hail/Sleet,0,0,0,0,0
India,Punjab,"Financial Year (Apr - Mar), 2020",Ludhiana,Others,211,110,69,20,89
India,Punjab,"Financial Year (Apr - Mar), 2020",Ludhiana,Rainy,36,25,17,10,27
India,Punjab,"Financial Year (Apr - Mar), 2020",Ludhiana,Sunny/Clear,77,95,33,15,48
India,Punjab,"Financial Year (Apr - Mar), 2021",Amritsar,Foggy & Misty,8,6,6,0,6
India,Punjab,"Financial Year (Apr - Mar), 2021",Amritsar,Hail/Sleet,0,0,0,0,0
India,Punjab,"Financial Year (Apr - Mar), 2021",Amritsar,Others,57,44,5,12,17
India,Punjab,"Financial Year (Apr - Mar), 2021",Amritsar,Rainy,0,0,0,0,0
India,Punjab,"Financial Year (Apr - Mar), 2021",Amritsar,Sunny/Clear,33,15,16,9,25
India,Punjab,"Financial Year (Apr - Mar), 2021",Ludhiana,Foggy & Misty,93,52,35,10,45
India,Punjab,"Financial Year (Apr - Mar), 2021",Ludhiana,Hail/Sleet,51,32,3,3,6
India,Punjab,"Financial Year (Apr - Mar), 2021",Ludhiana,Others,80,61,39,4,43
India,Punjab,"Financial Year (Apr - Mar), 2021",Ludhiana,Rainy,0,0,0,0,0
India,Punjab,"Financial Year (Apr - Mar), 2021",Ludhiana,Sunny/Clear,254,235,58,17,75
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Jaipur,Foggy & Misty,5,1,2,2,4
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Jaipur,Hail/Sleet,0,0,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Jaipur,Others,60,46,38,11,49
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Jaipur,Rainy,50,8,13,35,48
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Jaipur,Sunny/Clear,4156,1228,1177,2303,3480
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Jodhpur,Foggy & Misty,61,44,8,32,40
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Jodhpur,Hail/Sleet,0,0,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Jodhpur,Others,169,51,26,115,141
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Jodhpur,Rainy,26,14,2,13,15
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Jodhpur,Sunny/Clear,861,480,241,397,638
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Kota,Foggy & Misty,28,16,0,31,31
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Kota,Hail/Sleet,0,0,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Kota,Others,0,0,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Kota,Rainy,40,17,3,38,41
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Kota,Sunny/Clear,716,192,110,631,741
India,Rajasthan,"Financial Year (Apr - Mar), 2020",Jaipur,Foggy & Misty,15,0,7,12,19
India,Rajasthan,"Financial Year (Apr - Mar), 2020",Jaipur,Hail/Sleet,0,0,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2020",Jaipur,Others,1,1,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2020",Jaipur,Rainy,0,0,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2020",Jaipur,Sunny/Clear,1924,605,437,1112,1549
India,Rajasthan,"Financial Year (Apr - Mar), 2020",Jodhpur,Foggy & Misty,42,26,1,21,22
India,Rajasthan,"Financial Year (Apr - Mar), 2020",Jodhpur,Hail/Sleet,0,0,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2020",Jodhpur,Others,19,13,3,11,14
India,Rajasthan,"Financial Year (Apr - Mar), 2020",Jodhpur,Rainy,0,0,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2020",Jodhpur,Sunny/Clear,231,103,29,142,171
India,Rajasthan,"Financial Year (Apr - Mar), 2020",Kota,Foggy & Misty,0,0,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2020",Kota,Hail/Sleet,0,0,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2020",Kota,Others,0,0,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2020",Kota,Rainy,0,0,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2020",Kota,Sunny/Clear,353,60,67,295,362
India,Rajasthan,"Financial Year (Apr - Mar), 2021",Jaipur,Foggy & Misty,0,0,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2021",Jaipur,Hail/Sleet,0,0,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2021",Jaipur,Others,0,0,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2021",Jaipur,Rainy,19,5,5,9,14
India,Rajasthan,"Financial Year (Apr - Mar), 2021",Jaipur,Sunny/Clear,2146,620,491,1286,1777
