Country,State,Year,City Name,Type Of Weather,Total Number Of Accidents  (UOM:Number),Number Of Persons Killed In Road Accident (UOM:Number),Number Of Grievously Injured Persons (UOM:Number),Number Of Minor Injured Persons (UOM:Number),Number Of Total Injured Persons (UOM:Number)
India,Chandigarh,"Financial Year (Apr - Mar), 2020",Chandigarh,Hail/Sleet,0,0,0,0,0
India,Chandigarh,"Financial Year (Apr - Mar), 2020",Chandigarh,Others,0,0,0,0,0
India,Chandigarh,"Financial Year (Apr - Mar), 2020",Chandigarh,Rainy,1,1,0,0,0
India,Chandigarh,"Financial Year (Apr - Mar), 2020",Chandigarh,Sunny/Clear,152,46,14,131,145
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Chandigarh,Foggy & Misty,2,1,0,1,1
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Chandigarh,Hail/Sleet,0,0,0,0,0
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Chandigarh,Others,0,0,0,0,0
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Chandigarh,Rainy,4,4,0,1,1
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Chandigarh,Sunny/Clear,202,91,9,161,170
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Raipur,Foggy & Misty,62,9,2,38,40
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Raipur,Hail/Sleet,10,0,0,0,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Raipur,Others,421,0,0,0,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Raipur,Rainy,138,27,5,77,82
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Raipur,Sunny/Clear,1515,422,68,1391,1459
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",Raipur,Foggy & Misty,27,2,2,21,23
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",Raipur,Hail/Sleet,0,0,0,0,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",Raipur,Others,0,0,0,0,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",Raipur,Rainy,309,32,9,186,195
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",Raipur,Sunny/Clear,1430,448,38,1038,1076
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Raipur,Foggy & Misty,22,1,0,9,9
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Raipur,Hail/Sleet,0,0,0,0,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Raipur,Others,0,0,0,0,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Raipur,Rainy,332,34,9,192,201
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Raipur,Sunny/Clear,1409,437,54,1047,1101
India,Delhi,"Financial Year (Apr - Mar), 2019",Delhi,Foggy & Misty,863,240,95,673,768
India,Delhi,"Financial Year (Apr - Mar), 2019",Delhi,Hail/Sleet,0,0,0,0,0
India,Delhi,"Financial Year (Apr - Mar), 2019",Delhi,Others,1311,323,187,1078,1265
India,Delhi,"Financial Year (Apr - Mar), 2019",Delhi,Rainy,800,201,96,646,742
India,Delhi,"Financial Year (Apr - Mar), 2019",Delhi,Sunny/Clear,2636,699,400,1977,2377
India,Delhi,"Financial Year (Apr - Mar), 2020",Delhi,Foggy & Misty,194,31,13,204,217
India,Delhi,"Financial Year (Apr - Mar), 2020",Delhi,Hail/Sleet,0,0,0,0,0
India,Delhi,"Financial Year (Apr - Mar), 2020",Delhi,Others,1334,478,76,973,1049
India,Delhi,"Financial Year (Apr - Mar), 2020",Delhi,Rainy,265,36,17,308,325
India,Delhi,"Financial Year (Apr - Mar), 2020",Delhi,Sunny/Clear,2385,651,106,1965,2071
India,Delhi,"Financial Year (Apr - Mar), 2021",Delhi,Foggy & Misty,32,8,4,31,35
India,Delhi,"Financial Year (Apr - Mar), 2021",Delhi,Hail/Sleet,0,0,0,0,0
India,Delhi,"Financial Year (Apr - Mar), 2021",Delhi,Others,1539,468,57,1296,1353
India,Delhi,"Financial Year (Apr - Mar), 2021",Delhi,Rainy,585,159,25,525,550
India,Delhi,"Financial Year (Apr - Mar), 2021",Delhi,Sunny/Clear,2564,604,93,2242,2335
India,Gujarat,"Financial Year (Apr - Mar), 2019",Ahmedabad,Foggy & Misty,47,12,22,29,51
India,Gujarat,"Financial Year (Apr - Mar), 2019",Ahmedabad,Hail/Sleet,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2019",Ahmedabad,Others,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2019",Ahmedabad,Rainy,79,39,26,38,64
India,Gujarat,"Financial Year (Apr - Mar), 2019",Ahmedabad,Sunny/Clear,1249,388,541,487,1028
India,Gujarat,"Financial Year (Apr - Mar), 2019",Rajkot,Foggy & Misty,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2019",Rajkot,Hail/Sleet,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2019",Rajkot,Others,22,9,7,7,14
India,Gujarat,"Financial Year (Apr - Mar), 2019",Rajkot,Rainy,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2019",Rajkot,Sunny/Clear,553,161,205,218,423
India,Gujarat,"Financial Year (Apr - Mar), 2019",Surat,Foggy & Misty,18,5,13,0,13
India,Gujarat,"Financial Year (Apr - Mar), 2019",Surat,Hail/Sleet,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2019",Surat,Others,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2019",Surat,Rainy,81,30,46,14,60
India,Gujarat,"Financial Year (Apr - Mar), 2019",Surat,Sunny/Clear,846,257,475,170,645
