State,Year,City Name,Type Of Weather,Total Number Of Accidents  (UOM:Number),Lat,Long
Kerala,"Financial Year (Apr - Mar), 2020",Calicut,Hail/Sleet,0,11.248016,75.780402
Kerala,"Financial Year (Apr - Mar), 2020",Calicut,Others,0,11.248016,75.780402
Kerala,"Financial Year (Apr - Mar), 2020",Calicut,Rainy,57,11.248016,75.780402
Kerala,"Financial Year (Apr - Mar), 2020",Calicut,Sunny/Clear,864,11.248016,75.780402
Kerala,"Financial Year (Apr - Mar), 2020",Kochi,Foggy & Misty,64,9.947743,76.253802
Kerala,"Financial Year (Apr - Mar), 2020",Kochi,Hail/Sleet,0,9.947743,76.253802
Kerala,"Financial Year (Apr - Mar), 2020",Kochi,Others,68,9.947743,76.253802
Kerala,"Financial Year (Apr - Mar), 2020",Kochi,Rainy,14,9.947743,76.253802
Kerala,"Financial Year (Apr - Mar), 2020",Kochi,Sunny/Clear,1291,9.947743,76.253802
Kerala,"Financial Year (Apr - Mar), 2020",Kollam,Foggy & Misty,15,8.881131,76.584694
Kerala,"Financial Year (Apr - Mar), 2020",Kollam,Hail/Sleet,15,8.881131,76.584694
Kerala,"Financial Year (Apr - Mar), 2020",Kollam,Others,190,8.881131,76.584694
Kerala,"Financial Year (Apr - Mar), 2020",Kollam,Rainy,23,8.881131,76.584694
Kerala,"Financial Year (Apr - Mar), 2020",Kollam,Sunny/Clear,1168,8.881131,76.584694
Kerala,"Financial Year (Apr - Mar), 2020",Kumbakonam,Foggy & Misty,68,10.959789,79.377472
Kerala,"Financial Year (Apr - Mar), 2020",Kumbakonam,Hail/Sleet,0,10.959789,79.377472
Kerala,"Financial Year (Apr - Mar), 2020",Kumbakonam,Others,0,10.959789,79.377472
Kerala,"Financial Year (Apr - Mar), 2020",Kumbakonam,Rainy,256,10.959789,79.377472
Kerala,"Financial Year (Apr - Mar), 2020",Kumbakonam,Sunny/Clear,1460,10.959789,79.377472
Kerala,"Financial Year (Apr - Mar), 2020",Thiruvananthapuram,Foggy & Misty,24,8.485498,76.949238
Kerala,"Financial Year (Apr - Mar), 2020",Thiruvananthapuram,Hail/Sleet,1,8.485498,76.949238
Kerala,"Financial Year (Apr - Mar), 2020",Thiruvananthapuram,Others,76,8.485498,76.949238
Kerala,"Financial Year (Apr - Mar), 2020",Thiruvananthapuram,Rainy,2,8.485498,76.949238
Kerala,"Financial Year (Apr - Mar), 2020",Thiruvananthapuram,Sunny/Clear,1111,8.485498,76.949238
Kerala,"Financial Year (Apr - Mar), 2020",Thrissur,Foggy & Misty,0,10.5270099,76.214621
Kerala,"Financial Year (Apr - Mar), 2020",Thrissur,Hail/Sleet,0,10.5270099,76.214621
Kerala,"Financial Year (Apr - Mar), 2020",Thrissur,Others,0,10.5270099,76.214621
Kerala,"Financial Year (Apr - Mar), 2020",Thrissur,Rainy,15,10.5270099,76.214621
Kerala,"Financial Year (Apr - Mar), 2020",Thrissur,Sunny/Clear,1449,10.5270099,76.214621
Kerala,"Financial Year (Apr - Mar), 2021",Kannur,Foggy & Misty,20,11.8763836,75.3737973
Kerala,"Financial Year (Apr - Mar), 2021",Kannur,Hail/Sleet,0,11.8763836,75.3737973
Kerala,"Financial Year (Apr - Mar), 2021",Kannur,Others,0,11.8763836,75.3737973
Kerala,"Financial Year (Apr - Mar), 2021",Kannur,Rainy,105,11.8763836,75.3737973
Kerala,"Financial Year (Apr - Mar), 2021",Kannur,Sunny/Clear,1049,11.8763836,75.3737973
Kerala,"Financial Year (Apr - Mar), 2021",Calicut,Foggy & Misty,78,11.248016,75.780402
Kerala,"Financial Year (Apr - Mar), 2021",Calicut,Hail/Sleet,0,11.248016,75.780402
Kerala,"Financial Year (Apr - Mar), 2021",Calicut,Others,98,11.248016,75.780402
Kerala,"Financial Year (Apr - Mar), 2021",Calicut,Rainy,16,11.248016,75.780402
Kerala,"Financial Year (Apr - Mar), 2021",Calicut,Sunny/Clear,1185,11.248016,75.780402
Kerala,"Financial Year (Apr - Mar), 2021",Kochi,Foggy & Misty,78,9.947743,76.253802
Kerala,"Financial Year (Apr - Mar), 2021",Kochi,Hail/Sleet,0,9.947743,76.253802
Kerala,"Financial Year (Apr - Mar), 2021",Kochi,Others,0,9.947743,76.253802
Kerala,"Financial Year (Apr - Mar), 2021",Kochi,Rainy,97,9.947743,76.253802
Kerala,"Financial Year (Apr - Mar), 2021",Kochi,Sunny/Clear,1606,9.947743,76.253802
Kerala,"Financial Year (Apr - Mar), 2021",Kollam,Foggy & Misty,80,8.881131,76.584694
Kerala,"Financial Year (Apr - Mar), 2021",Kollam,Hail/Sleet,0,8.881131,76.584694
Kerala,"Financial Year (Apr - Mar), 2021",Kollam,Others,128,8.881131,76.584694
Kerala,"Financial Year (Apr - Mar), 2021",Kollam,Rainy,15,8.881131,76.584694
Kerala,"Financial Year (Apr - Mar), 2021",Kollam,Sunny/Clear,1329,8.881131,76.584694
Kerala,"Financial Year (Apr - Mar), 2021",Kumbakonam,Foggy & Misty,91,10.959789,79.377472
Kerala,"Financial Year (Apr - Mar), 2021",Kumbakonam,Hail/Sleet,0,10.959789,79.377472
Kerala,"Financial Year (Apr - Mar), 2021",Kumbakonam,Others,0,10.959789,79.377472
Kerala,"Financial Year (Apr - Mar), 2021",Kumbakonam,Rainy,322,10.959789,79.377472
Kerala,"Financial Year (Apr - Mar), 2021",Kumbakonam,Sunny/Clear,1734,10.959789,79.377472
Kerala,"Financial Year (Apr - Mar), 2021",Thiruvananthapuram,Foggy & Misty,25,8.485498,76.949238
Kerala,"Financial Year (Apr - Mar), 2021",Thiruvananthapuram,Hail/Sleet,0,8.485498,76.949238
Kerala,"Financial Year (Apr - Mar), 2021",Thiruvananthapuram,Others,70,8.485498,76.949238
Kerala,"Financial Year (Apr - Mar), 2021",Thiruvananthapuram,Rainy,3,8.485498,76.949238
Kerala,"Financial Year (Apr - Mar), 2021",Thiruvananthapuram,Sunny/Clear,1340,8.485498,76.949238
Kerala,"Financial Year (Apr - Mar), 2021",Thrissur,Foggy & Misty,0,10.5270099,76.214621
Kerala,"Financial Year (Apr - Mar), 2021",Thrissur,Hail/Sleet,0,10.5270099,76.214621
Kerala,"Financial Year (Apr - Mar), 2021",Thrissur,Others,0,10.5270099,76.214621
Kerala,"Financial Year (Apr - Mar), 2021",Thrissur,Rainy,223,10.5270099,76.214621
Kerala,"Financial Year (Apr - Mar), 2021",Thrissur,Sunny/Clear,1496,10.5270099,76.214621
Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Bhopal ,Foggy & Misty,47,23.254688,77.402892
Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Bhopal ,Hail/Sleet,0,23.254688,77.402892
Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Bhopal ,Others,487,23.254688,77.402892
Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Bhopal ,Rainy,267,23.254688,77.402892
Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Bhopal ,Sunny/Clear,2486,23.254688,77.402892
Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Gwalior,Foggy & Misty,0,26.229825,78.173369
Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Gwalior,Hail/Sleet,0,26.229825,78.173369
Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Gwalior,Others,0,26.229825,78.173369
Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Gwalior,Rainy,0,26.229825,78.173369
Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Gwalior,Sunny/Clear,2109,26.229825,78.173369
Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Indore,Foggy & Misty,0,22.717736,75.85859
Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Indore,Hail/Sleet,0,22.717736,75.85859
Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Indore,Others,289,22.717736,75.85859
Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Indore,Rainy,179,22.717736,75.85859
Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Indore,Sunny/Clear,2915,22.717736,75.85859
Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Jabalpur,Foggy & Misty,8,23.174495,79.935903
Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Jabalpur,Hail/Sleet,0,23.174495,79.935903
Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Jabalpur,Others,824,23.174495,79.935903
Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Jabalpur,Rainy,582,23.174495,79.935903
Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Jabalpur,Sunny/Clear,1983,23.174495,79.935903
Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Bhopal ,Foggy & Misty,59,23.254688,77.402892
Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Bhopal ,Hail/Sleet,11,23.254688,77.402892
Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Bhopal ,Others,263,23.254688,77.402892
Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Bhopal ,Rainy,198,23.254688,77.402892
Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Bhopal ,Sunny/Clear,1764,23.254688,77.402892
Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Gwalior,Foggy & Misty,0,26.229825,78.173369
Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Gwalior,Hail/Sleet,0,26.229825,78.173369
Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Gwalior,Others,0,26.229825,78.173369
Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Gwalior,Rainy,0,26.229825,78.173369
Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Gwalior,Sunny/Clear,1799,26.229825,78.173369
Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Indore,Foggy & Misty,0,22.717736,75.85859
Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Indore,Hail/Sleet,0,22.717736,75.85859
Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Indore,Others,344,22.717736,75.85859
Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Indore,Rainy,0,22.717736,75.85859
Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Indore,Sunny/Clear,2692,22.717736,75.85859
Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Jabalpur,Foggy & Misty,222,23.174495,79.935903
Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Jabalpur,Hail/Sleet,0,23.174495,79.935903
Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Jabalpur,Others,694,23.174495,79.935903
Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Jabalpur,Rainy,205,23.174495,79.935903
Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Jabalpur,Sunny/Clear,2105,23.174495,79.935903
Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Bhopal ,Foggy & Misty,0,23.254688,77.402892
Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Bhopal ,Hail/Sleet,0,23.254688,77.402892
Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Bhopal ,Others,405,23.254688,77.402892
Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Bhopal ,Rainy,0,23.254688,77.402892
Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Bhopal ,Sunny/Clear,2211,23.254688,77.402892
Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Gwalior,Foggy & Misty,0,26.229825,78.173369
Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Gwalior,Hail/Sleet,0,26.229825,78.173369
Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Gwalior,Others,733,26.229825,78.173369
Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Gwalior,Rainy,0,26.229825,78.173369
Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Gwalior,Sunny/Clear,1097,26.229825,78.173369
Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Indore,Foggy & Misty,0,22.717736,75.85859
Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Indore,Hail/Sleet,0,22.717736,75.85859
Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Indore,Others,313,22.717736,75.85859
Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Indore,Rainy,0,22.717736,75.85859
Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Indore,Sunny/Clear,3363,22.717736,75.85859
Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Jabalpur,Foggy & Misty,99,23.174495,79.935903
Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Jabalpur,Hail/Sleet,120,23.174495,79.935903
Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Jabalpur,Others,759,23.174495,79.935903
Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Jabalpur,Rainy,326,23.174495,79.935903
Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Jabalpur,Sunny/Clear,2551,23.174495,79.935903
Maharashtra,"Financial Year (Apr - Mar), 2019",Aurangabad,Foggy & Misty,6,19.880943,75.346739
Maharashtra,"Financial Year (Apr - Mar), 2019",Aurangabad,Foggy & Misty,6,24.752037,84.374202
Maharashtra,"Financial Year (Apr - Mar), 2019",Aurangabad,Hail/Sleet,0,19.880943,75.346739
Maharashtra,"Financial Year (Apr - Mar), 2019",Aurangabad,Hail/Sleet,0,24.752037,84.374202
Maharashtra,"Financial Year (Apr - Mar), 2019",Aurangabad,Others,0,19.880943,75.346739
Maharashtra,"Financial Year (Apr - Mar), 2019",Aurangabad,Others,0,24.752037,84.374202
Maharashtra,"Financial Year (Apr - Mar), 2019",Aurangabad,Rainy,3,19.880943,75.346739
Maharashtra,"Financial Year (Apr - Mar), 2019",Aurangabad,Rainy,3,24.752037,84.374202
Maharashtra,"Financial Year (Apr - Mar), 2019",Aurangabad,Sunny/Clear,551,19.880943,75.346739
Maharashtra,"Financial Year (Apr - Mar), 2019",Aurangabad,Sunny/Clear,551,24.752037,84.374202
Maharashtra,"Financial Year (Apr - Mar), 2019",Mumbai,Foggy & Misty,0,18.987807,72.836447
Maharashtra,"Financial Year (Apr - Mar), 2019",Mumbai,Hail/Sleet,0,18.987807,72.836447
Maharashtra,"Financial Year (Apr - Mar), 2019",Mumbai,Others,0,18.987807,72.836447
Maharashtra,"Financial Year (Apr - Mar), 2019",Mumbai,Rainy,0,18.987807,72.836447
Maharashtra,"Financial Year (Apr - Mar), 2019",Mumbai,Sunny/Clear,2872,18.987807,72.836447
Maharashtra,"Financial Year (Apr - Mar), 2019",Nagpur,Foggy & Misty,4,21.1498134,79.0820556
Maharashtra,"Financial Year (Apr - Mar), 2019",Nagpur,Hail/Sleet,0,21.1498134,79.0820556
Maharashtra,"Financial Year (Apr - Mar), 2019",Nagpur,Others,0,21.1498134,79.0820556
Maharashtra,"Financial Year (Apr - Mar), 2019",Nagpur,Rainy,66,21.1498134,79.0820556
Maharashtra,"Financial Year (Apr - Mar), 2019",Nagpur,Sunny/Clear,937,21.1498134,79.0820556
Maharashtra,"Financial Year (Apr - Mar), 2019",Nasik,Foggy & Misty,0,19.999963,73.776887
Maharashtra,"Financial Year (Apr - Mar), 2019",Nasik,Hail/Sleet,0,19.999963,73.776887
Maharashtra,"Financial Year (Apr - Mar), 2019",Nasik,Others,0,19.999963,73.776887
Maharashtra,"Financial Year (Apr - Mar), 2019",Nasik,Rainy,0,19.999963,73.776887
Maharashtra,"Financial Year (Apr - Mar), 2019",Nasik,Sunny/Clear,553,19.999963,73.776887
Maharashtra,"Financial Year (Apr - Mar), 2019",Pune,Foggy & Misty,0,18.513271,73.849852
Maharashtra,"Financial Year (Apr - Mar), 2019",Pune,Hail/Sleet,0,18.513271,73.849852
Maharashtra,"Financial Year (Apr - Mar), 2019",Pune,Others,0,18.513271,73.849852
Maharashtra,"Financial Year (Apr - Mar), 2019",Pune,Rainy,0,18.513271,73.849852
Maharashtra,"Financial Year (Apr - Mar), 2019",Pune,Sunny/Clear,791,18.513271,73.849852
Maharashtra,"Financial Year (Apr - Mar), 2020",Aurangabad,Foggy & Misty,0,19.880943,75.346739
Maharashtra,"Financial Year (Apr - Mar), 2020",Aurangabad,Foggy & Misty,0,24.752037,84.374202
Maharashtra,"Financial Year (Apr - Mar), 2020",Aurangabad,Hail/Sleet,0,19.880943,75.346739
Maharashtra,"Financial Year (Apr - Mar), 2020",Aurangabad,Hail/Sleet,0,24.752037,84.374202
Maharashtra,"Financial Year (Apr - Mar), 2020",Aurangabad,Others,0,19.880943,75.346739
Maharashtra,"Financial Year (Apr - Mar), 2020",Aurangabad,Others,0,24.752037,84.374202
Maharashtra,"Financial Year (Apr - Mar), 2020",Aurangabad,Rainy,3,19.880943,75.346739
Maharashtra,"Financial Year (Apr - Mar), 2020",Aurangabad,Rainy,3,24.752037,84.374202
Maharashtra,"Financial Year (Apr - Mar), 2020",Aurangabad,Sunny/Clear,403,19.880943,75.346739
Maharashtra,"Financial Year (Apr - Mar), 2020",Aurangabad,Sunny/Clear,403,24.752037,84.374202
Maharashtra,"Financial Year (Apr - Mar), 2020",Mumbai,Foggy & Misty,0,18.987807,72.836447
Maharashtra,"Financial Year (Apr - Mar), 2020",Mumbai,Hail/Sleet,0,18.987807,72.836447
Maharashtra,"Financial Year (Apr - Mar), 2020",Mumbai,Others,0,18.987807,72.836447
Maharashtra,"Financial Year (Apr - Mar), 2020",Mumbai,Rainy,0,18.987807,72.836447
Maharashtra,"Financial Year (Apr - Mar), 2020",Mumbai,Sunny/Clear,1812,18.987807,72.836447
Maharashtra,"Financial Year (Apr - Mar), 2020",Nagpur,Foggy & Misty,0,21.1498134,79.0820556
Maharashtra,"Financial Year (Apr - Mar), 2020",Nagpur,Hail/Sleet,0,21.1498134,79.0820556
Maharashtra,"Financial Year (Apr - Mar), 2020",Nagpur,Others,0,21.1498134,79.0820556
Maharashtra,"Financial Year (Apr - Mar), 2020",Nagpur,Rainy,0,21.1498134,79.0820556
Maharashtra,"Financial Year (Apr - Mar), 2020",Nagpur,Sunny/Clear,773,21.1498134,79.0820556
Maharashtra,"Financial Year (Apr - Mar), 2020",Nasik,Foggy & Misty,0,19.999963,73.776887
Maharashtra,"Financial Year (Apr - Mar), 2020",Nasik,Hail/Sleet,0,19.999963,73.776887
Maharashtra,"Financial Year (Apr - Mar), 2020",Nasik,Others,1,19.999963,73.776887
Maharashtra,"Financial Year (Apr - Mar), 2020",Nasik,Rainy,0,19.999963,73.776887
Maharashtra,"Financial Year (Apr - Mar), 2020",Nasik,Sunny/Clear,415,19.999963,73.776887
Maharashtra,"Financial Year (Apr - Mar), 2020",Pune,Foggy & Misty,0,18.513271,73.849852
Maharashtra,"Financial Year (Apr - Mar), 2020",Pune,Hail/Sleet,0,18.513271,73.849852
Maharashtra,"Financial Year (Apr - Mar), 2020",Pune,Others,0,18.513271,73.849852
Maharashtra,"Financial Year (Apr - Mar), 2020",Pune,Rainy,0,18.513271,73.849852
Maharashtra,"Financial Year (Apr - Mar), 2020",Pune,Sunny/Clear,482,18.513271,73.849852
Maharashtra,"Financial Year (Apr - Mar), 2021",Aurangabad,Foggy & Misty,9,19.880943,75.346739
Maharashtra,"Financial Year (Apr - Mar), 2021",Aurangabad,Foggy & Misty,9,24.752037,84.374202
Maharashtra,"Financial Year (Apr - Mar), 2021",Aurangabad,Hail/Sleet,0,19.880943,75.346739
Maharashtra,"Financial Year (Apr - Mar), 2021",Aurangabad,Hail/Sleet,0,24.752037,84.374202
Maharashtra,"Financial Year (Apr - Mar), 2021",Aurangabad,Others,0,19.880943,75.346739
Maharashtra,"Financial Year (Apr - Mar), 2021",Aurangabad,Others,0,24.752037,84.374202
Maharashtra,"Financial Year (Apr - Mar), 2021",Aurangabad,Rainy,10,19.880943,75.346739
Maharashtra,"Financial Year (Apr - Mar), 2021",Aurangabad,Rainy,10,24.752037,84.374202
Maharashtra,"Financial Year (Apr - Mar), 2021",Aurangabad,Sunny/Clear,452,19.880943,75.346739
Maharashtra,"Financial Year (Apr - Mar), 2021",Aurangabad,Sunny/Clear,452,24.752037,84.374202
Maharashtra,"Financial Year (Apr - Mar), 2021",Mumbai,Foggy & Misty,0,18.987807,72.836447
Maharashtra,"Financial Year (Apr - Mar), 2021",Mumbai,Hail/Sleet,0,18.987807,72.836447
Maharashtra,"Financial Year (Apr - Mar), 2021",Mumbai,Others,0,18.987807,72.836447
Maharashtra,"Financial Year (Apr - Mar), 2021",Mumbai,Rainy,400,18.987807,72.836447
Maharashtra,"Financial Year (Apr - Mar), 2021",Mumbai,Sunny/Clear,1830,18.987807,72.836447
Maharashtra,"Financial Year (Apr - Mar), 2021",Nagpur,Foggy & Misty,0,21.1498134,79.0820556
Maharashtra,"Financial Year (Apr - Mar), 2021",Nagpur,Hail/Sleet,0,21.1498134,79.0820556
Maharashtra,"Financial Year (Apr - Mar), 2021",Nagpur,Others,0,21.1498134,79.0820556
Maharashtra,"Financial Year (Apr - Mar), 2021",Nagpur,Rainy,0,21.1498134,79.0820556
Maharashtra,"Financial Year (Apr - Mar), 2021",Nagpur,Sunny/Clear,958,21.1498134,79.0820556
Maharashtra,"Financial Year (Apr - Mar), 2021",Nasik,Foggy & Misty,0,19.999963,73.776887
Maharashtra,"Financial Year (Apr - Mar), 2021",Nasik,Hail/Sleet,0,19.999963,73.776887
Maharashtra,"Financial Year (Apr - Mar), 2021",Nasik,Others,0,19.999963,73.776887
Maharashtra,"Financial Year (Apr - Mar), 2021",Nasik,Rainy,4,19.999963,73.776887
Maharashtra,"Financial Year (Apr - Mar), 2021",Nasik,Sunny/Clear,466,19.999963,73.776887
Maharashtra,"Financial Year (Apr - Mar), 2021",Pune,Foggy & Misty,0,18.513271,73.849852
Maharashtra,"Financial Year (Apr - Mar), 2021",Pune,Hail/Sleet,0,18.513271,73.849852
Maharashtra,"Financial Year (Apr - Mar), 2021",Pune,Others,0,18.513271,73.849852
Maharashtra,"Financial Year (Apr - Mar), 2021",Pune,Rainy,0,18.513271,73.849852
Maharashtra,"Financial Year (Apr - Mar), 2021",Pune,Sunny/Clear,741,18.513271,73.849852
Punjab,"Financial Year (Apr - Mar), 2019",Amritsar,Foggy & Misty,7,31.622337,74.875335
Punjab,"Financial Year (Apr - Mar), 2019",Amritsar,Hail/Sleet,0,31.622337,74.875335
Punjab,"Financial Year (Apr - Mar), 2019",Amritsar,Others,40,31.622337,74.875335
Punjab,"Financial Year (Apr - Mar), 2019",Amritsar,Rainy,0,31.622337,74.875335
Punjab,"Financial Year (Apr - Mar), 2019",Amritsar,Sunny/Clear,86,31.622337,74.875335
Punjab,"Financial Year (Apr - Mar), 2019",Ludhiana,Foggy & Misty,55,30.912042,75.853789
Punjab,"Financial Year (Apr - Mar), 2019",Ludhiana,Hail/Sleet,0,30.912042,75.853789
Punjab,"Financial Year (Apr - Mar), 2019",Ludhiana,Others,360,30.912042,75.853789
Punjab,"Financial Year (Apr - Mar), 2019",Ludhiana,Rainy,34,30.912042,75.853789
Punjab,"Financial Year (Apr - Mar), 2019",Ludhiana,Sunny/Clear,104,30.912042,75.853789
Punjab,"Financial Year (Apr - Mar), 2020",Amritsar,Foggy & Misty,6,31.622337,74.875335
Punjab,"Financial Year (Apr - Mar), 2020",Amritsar,Hail/Sleet,2,31.622337,74.875335
Punjab,"Financial Year (Apr - Mar), 2020",Amritsar,Others,32,31.622337,74.875335
Punjab,"Financial Year (Apr - Mar), 2020",Amritsar,Rainy,0,31.622337,74.875335
Punjab,"Financial Year (Apr - Mar), 2020",Amritsar,Sunny/Clear,60,31.622337,74.875335
Punjab,"Financial Year (Apr - Mar), 2020",Ludhiana,Foggy & Misty,94,30.912042,75.853789
Punjab,"Financial Year (Apr - Mar), 2020",Ludhiana,Hail/Sleet,0,30.912042,75.853789
Punjab,"Financial Year (Apr - Mar), 2020",Ludhiana,Others,211,30.912042,75.853789
Punjab,"Financial Year (Apr - Mar), 2020",Ludhiana,Rainy,36,30.912042,75.853789
Punjab,"Financial Year (Apr - Mar), 2020",Ludhiana,Sunny/Clear,77,30.912042,75.853789
Punjab,"Financial Year (Apr - Mar), 2021",Amritsar,Foggy & Misty,8,31.622337,74.875335
Punjab,"Financial Year (Apr - Mar), 2021",Amritsar,Hail/Sleet,0,31.622337,74.875335
Punjab,"Financial Year (Apr - Mar), 2021",Amritsar,Others,57,31.622337,74.875335
Punjab,"Financial Year (Apr - Mar), 2021",Amritsar,Rainy,0,31.622337,74.875335
Punjab,"Financial Year (Apr - Mar), 2021",Amritsar,Sunny/Clear,33,31.622337,74.875335
Punjab,"Financial Year (Apr - Mar), 2021",Ludhiana,Foggy & Misty,93,30.912042,75.853789
Punjab,"Financial Year (Apr - Mar), 2021",Ludhiana,Hail/Sleet,51,30.912042,75.853789
Punjab,"Financial Year (Apr - Mar), 2021",Ludhiana,Others,80,30.912042,75.853789
Punjab,"Financial Year (Apr - Mar), 2021",Ludhiana,Rainy,0,30.912042,75.853789
Punjab,"Financial Year (Apr - Mar), 2021",Ludhiana,Sunny/Clear,254,30.912042,75.853789
Rajasthan,"Financial Year (Apr - Mar), 2019",Jaipur,Foggy & Misty,5,26.913312,75.787872
Rajasthan,"Financial Year (Apr - Mar), 2019",Jaipur,Hail/Sleet,0,26.913312,75.787872
Rajasthan,"Financial Year (Apr - Mar), 2019",Jaipur,Others,60,26.913312,75.787872
Rajasthan,"Financial Year (Apr - Mar), 2019",Jaipur,Rainy,50,26.913312,75.787872
Rajasthan,"Financial Year (Apr - Mar), 2019",Jaipur,Sunny/Clear,4156,26.913312,75.787872
Rajasthan,"Financial Year (Apr - Mar), 2019",Jodhpur,Foggy & Misty,61,26.26841,73.005943
Rajasthan,"Financial Year (Apr - Mar), 2019",Jodhpur,Hail/Sleet,0,26.26841,73.005943
Rajasthan,"Financial Year (Apr - Mar), 2019",Jodhpur,Others,169,26.26841,73.005943
Rajasthan,"Financial Year (Apr - Mar), 2019",Jodhpur,Rainy,26,26.26841,73.005943
Rajasthan,"Financial Year (Apr - Mar), 2019",Jodhpur,Sunny/Clear,861,26.26841,73.005943
Rajasthan,"Financial Year (Apr - Mar), 2019",Kota,Foggy & Misty,28,25.182544,75.839065
Rajasthan,"Financial Year (Apr - Mar), 2019",Kota,Hail/Sleet,0,25.182544,75.839065
Rajasthan,"Financial Year (Apr - Mar), 2019",Kota,Others,0,25.182544,75.839065
Rajasthan,"Financial Year (Apr - Mar), 2019",Kota,Rainy,40,25.182544,75.839065
Rajasthan,"Financial Year (Apr - Mar), 2019",Kota,Sunny/Clear,716,25.182544,75.839065
Rajasthan,"Financial Year (Apr - Mar), 2020",Jaipur,Foggy & Misty,15,26.913312,75.787872
Rajasthan,"Financial Year (Apr - Mar), 2020",Jaipur,Hail/Sleet,0,26.913312,75.787872
Rajasthan,"Financial Year (Apr - Mar), 2020",Jaipur,Others,1,26.913312,75.787872
Rajasthan,"Financial Year (Apr - Mar), 2020",Jaipur,Rainy,0,26.913312,75.787872
Rajasthan,"Financial Year (Apr - Mar), 2020",Jaipur,Sunny/Clear,1924,26.913312,75.787872
Rajasthan,"Financial Year (Apr - Mar), 2020",Jodhpur,Foggy & Misty,42,26.26841,73.005943
Rajasthan,"Financial Year (Apr - Mar), 2020",Jodhpur,Hail/Sleet,0,26.26841,73.005943
Rajasthan,"Financial Year (Apr - Mar), 2020",Jodhpur,Others,19,26.26841,73.005943
Rajasthan,"Financial Year (Apr - Mar), 2020",Jodhpur,Rainy,0,26.26841,73.005943
Rajasthan,"Financial Year (Apr - Mar), 2020",Jodhpur,Sunny/Clear,231,26.26841,73.005943
Rajasthan,"Financial Year (Apr - Mar), 2020",Kota,Foggy & Misty,0,25.182544,75.839065
Rajasthan,"Financial Year (Apr - Mar), 2020",Kota,Hail/Sleet,0,25.182544,75.839065
