State,Year,City Name,Type Of Weather,Total Number Of Accidents  (UOM:Number),Lat,Long
Chandigarh,"Financial Year (Apr - Mar), 2020",Chandigarh ,Hail/Sleet,0,30.736292,76.788398
Chandigarh,"Financial Year (Apr - Mar), 2020",Chandigarh ,Others,0,30.736292,76.788398
Chandigarh,"Financial Year (Apr - Mar), 2020",Chandigarh ,Rainy,1,30.736292,76.788398
Chandigarh,"Financial Year (Apr - Mar), 2020",Chandigarh ,Sunny/Clear,152,30.736292,76.788398
Chandigarh,"Financial Year (Apr - Mar), 2021",Chandigarh ,Foggy & Misty,2,30.736292,76.788398
Chandigarh,"Financial Year (Apr - Mar), 2021",Chandigarh ,Hail/Sleet,0,30.736292,76.788398
Chandigarh,"Financial Year (Apr - Mar), 2021",Chandigarh ,Others,0,30.736292,76.788398
Chandigarh,"Financial Year (Apr - Mar), 2021",Chandigarh ,Rainy,4,30.736292,76.788398
Chandigarh,"Financial Year (Apr - Mar), 2021",Chandigarh ,Sunny/Clear,202,30.736292,76.788398
Chhattisgarh,"Financial Year (Apr - Mar), 2019",Raipur,Foggy & Misty,62,21.233333,81.633333
Chhattisgarh,"Financial Year (Apr - Mar), 2019",Raipur,Hail/Sleet,10,21.233333,81.633333
Chhattisgarh,"Financial Year (Apr - Mar), 2019",Raipur,Others,421,21.233333,81.633333
Chhattisgarh,"Financial Year (Apr - Mar), 2019",Raipur,Rainy,138,21.233333,81.633333
Chhattisgarh,"Financial Year (Apr - Mar), 2019",Raipur,Sunny/Clear,1515,21.233333,81.633333
Chhattisgarh,"Financial Year (Apr - Mar), 2020",Raipur,Foggy & Misty,27,21.233333,81.633333
Chhattisgarh,"Financial Year (Apr - Mar), 2020",Raipur,Hail/Sleet,0,21.233333,81.633333
Chhattisgarh,"Financial Year (Apr - Mar), 2020",Raipur,Others,0,21.233333,81.633333
Chhattisgarh,"Financial Year (Apr - Mar), 2020",Raipur,Rainy,309,21.233333,81.633333
Chhattisgarh,"Financial Year (Apr - Mar), 2020",Raipur,Sunny/Clear,1430,21.233333,81.633333
Chhattisgarh,"Financial Year (Apr - Mar), 2021",Raipur,Foggy & Misty,22,21.233333,81.633333
Chhattisgarh,"Financial Year (Apr - Mar), 2021",Raipur,Hail/Sleet,0,21.233333,81.633333
Chhattisgarh,"Financial Year (Apr - Mar), 2021",Raipur,Others,0,21.233333,81.633333
Chhattisgarh,"Financial Year (Apr - Mar), 2021",Raipur,Rainy,332,21.233333,81.633333
Chhattisgarh,"Financial Year (Apr - Mar), 2021",Raipur,Sunny/Clear,1409,21.233333,81.633333
Delhi,"Financial Year (Apr - Mar), 2019",Delhi,Foggy & Misty,863,28.651952,77.231495
Delhi,"Financial Year (Apr - Mar), 2019",Delhi,Hail/Sleet,0,28.651952,77.231495
Delhi,"Financial Year (Apr - Mar), 2019",Delhi,Others,1311,28.651952,77.231495
Delhi,"Financial Year (Apr - Mar), 2019",Delhi,Rainy,800,28.651952,77.231495
Delhi,"Financial Year (Apr - Mar), 2019",Delhi,Sunny/Clear,2636,28.651952,77.231495
Delhi,"Financial Year (Apr - Mar), 2020",Delhi,Foggy & Misty,194,28.651952,77.231495
Delhi,"Financial Year (Apr - Mar), 2020",Delhi,Hail/Sleet,0,28.651952,77.231495
Delhi,"Financial Year (Apr - Mar), 2020",Delhi,Others,1334,28.651952,77.231495
Delhi,"Financial Year (Apr - Mar), 2020",Delhi,Rainy,265,28.651952,77.231495
Delhi,"Financial Year (Apr - Mar), 2020",Delhi,Sunny/Clear,2385,28.651952,77.231495
Delhi,"Financial Year (Apr - Mar), 2021",Delhi,Foggy & Misty,32,28.651952,77.231495
Delhi,"Financial Year (Apr - Mar), 2021",Delhi,Hail/Sleet,0,28.651952,77.231495
Delhi,"Financial Year (Apr - Mar), 2021",Delhi,Others,1539,28.651952,77.231495
Delhi,"Financial Year (Apr - Mar), 2021",Delhi,Rainy,585,28.651952,77.231495
Delhi,"Financial Year (Apr - Mar), 2021",Delhi,Sunny/Clear,2564,28.651952,77.231495
Gujarat,"Financial Year (Apr - Mar), 2019",Ahmedabad,Foggy & Misty,47,23.025793,72.587265
Gujarat,"Financial Year (Apr - Mar), 2019",Ahmedabad,Hail/Sleet,0,23.025793,72.587265
Gujarat,"Financial Year (Apr - Mar), 2019",Ahmedabad,Others,0,23.025793,72.587265
Gujarat,"Financial Year (Apr - Mar), 2019",Ahmedabad,Rainy,79,23.025793,72.587265
Gujarat,"Financial Year (Apr - Mar), 2019",Ahmedabad,Sunny/Clear,1249,23.025793,72.587265
Gujarat,"Financial Year (Apr - Mar), 2019",Rajkot,Foggy & Misty,0,22.291606,70.793217
Gujarat,"Financial Year (Apr - Mar), 2019",Rajkot,Hail/Sleet,0,22.291606,70.793217
Gujarat,"Financial Year (Apr - Mar), 2019",Rajkot,Others,22,22.291606,70.793217
Gujarat,"Financial Year (Apr - Mar), 2019",Rajkot,Rainy,0,22.291606,70.793217
